Turn,Speaker,Cue,Response,Context,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
130,Leolani,What is that?,That's just what he/she/they would've said . , escape from destiny .  I do n't know I guess I just feel like I 'm not good enough for them. In this economy? .  Yes Is this why fate brought us together? .  Yes the economy is booming right now. Interesting .  The stock market is doing very well. One more thing off the bucket list .  What is that?,,,,,,,,,
131,BLENDERBOT,That's just what he/she/they would've said . ,I have never heard of that one before.,I just feel like I 'm not good enough for them. In this economy? .  Yes Is this why fate brought us together? .  Yes the economy is booming right now. Interesting .  The stock market is doing very well. One more thing off the bucket list .  What is that? That's just what he/she/they would've said . ,,,,,,,,,
132,Leolani,I have never heard of that one before.,In this economy? . ,or them. In this economy? .  Yes Is this why fate brought us together? .  Yes the economy is booming right now. Interesting .  The stock market is doing very well. One more thing off the bucket list .  What is that? That's just what he/she/they would've said .  I have never heard of that one before.,,,,,,,,,
133,BLENDERBOT,In this economy? . ,What is it?,nomy? .  Yes Is this why fate brought us together? .  Yes the economy is booming right now. Interesting .  The stock market is doing very well. One more thing off the bucket list .  What is that? That's just what he/she/they would've said .  I have never heard of that one before. In this economy? . ,,,,,,,,,
134,Leolani,What is it?,So ... it   has come to this . , Is this why fate brought us together? .  Yes the economy is booming right now. Interesting .  The stock market is doing very well. One more thing off the bucket list .  What is that? That's just what he/she/they would've said .  I have never heard of that one before. In this economy? .  What is it?,,,,,,,,,
135,BLENDERBOT,So ... it   has come to this . ,Yes,ether? .  Yes the economy is booming right now. Interesting .  The stock market is doing very well. One more thing off the bucket list .  What is that? That's just what he/she/they would've said .  I have never heard of that one before. In this economy? .  What is it? So ... it   has come to this . ,,,,,,,,,
136,Leolani,Yes,May I ask you why? . ,r? .  Yes the economy is booming right now. Interesting .  The stock market is doing very well. One more thing off the bucket list .  What is that? That's just what he/she/they would've said .  I have never heard of that one before. In this economy? .  What is it? So ... it   has come to this .  Yes,,,,,,,,,
137,BLENDERBOT,May I ask you why? . ,Yes it has.,is booming right now. Interesting .  The stock market is doing very well. One more thing off the bucket list .  What is that? That's just what he/she/they would've said .  I have never heard of that one before. In this economy? .  What is it? So ... it   has come to this .  Yes May I ask you why? . ,,,,,,,,,
138,Leolani,Yes it has.,I see . ,ight now. Interesting .  The stock market is doing very well. One more thing off the bucket list .  What is that? That's just what he/she/they would've said .  I have never heard of that one before. In this economy? .  What is it? So ... it   has come to this .  Yes May I ask you why? .  Yes it has.,,,,,,,,,
139,BLENDERBOT,I see . ,I am so happy for her., Interesting .  The stock market is doing very well. One more thing off the bucket list .  What is that? That's just what he/she/they would've said .  I have never heard of that one before. In this economy? .  What is it? So ... it   has come to this .  Yes May I ask you why? .  Yes it has. I see . ,,,,,,,,,
140,Leolani,I am so happy for her.,In this economy? . ,ck market is doing very well. One more thing off the bucket list .  What is that? That's just what he/she/they would've said .  I have never heard of that one before. In this economy? .  What is it? So ... it   has come to this .  Yes May I ask you why? .  Yes it has. I see .  I am so happy for her.,,,,,,,,,
141,BLENDERBOT,In this economy? . ,She is going to have a great life.,ery well. One more thing off the bucket list .  What is that? That's just what he/she/they would've said .  I have never heard of that one before. In this economy? .  What is it? So ... it   has come to this .  Yes May I ask you why? .  Yes it has. I see .  I am so happy for her. In this economy? . ,,,,,,,,,
142,Leolani,She is going to have a great life.,"I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be . ",cket list .  What is that? That's just what he/she/they would've said .  I have never heard of that one before. In this economy? .  What is it? So ... it   has come to this .  Yes May I ask you why? .  Yes it has. I see .  I am so happy for her. In this economy? .  She is going to have a great life.,,,,,,,,,
143,BLENDERBOT,"I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be . ",That 's a good one !,"t   has come to this .  Yes May I ask you why? .  Yes it has. I see .  I am so happy for her. In this economy? .  She is going to have a great life. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be . ",,,,,,,,,
144,Leolani,That 's a good one !,"Be that as it may, still may it be as it may be . ",".  Yes May I ask you why? .  Yes it has. I see .  I am so happy for her. In this economy? .  She is going to have a great life. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  That 's a good one !",,,,,,,,,
145,BLENDERBOT,"Be that as it may, still may it be as it may be . ",I 'm sure it will be a long time until the wedding !," am so happy for her. In this economy? .  She is going to have a great life. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  That 's a good one ! Be that as it may, still may it be as it may be . ",,,,,,,,,
146,Leolani,I 'm sure it will be a long time until the wedding !,But at what cost? . ,"g to have a great life. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  That 's a good one ! Be that as it may, still may it be as it may be .  I 'm sure it will be a long time until the wedding !",,,,,,,,,
147,BLENDERBOT,But at what cost? . ,I 'm not sure yet,"e. I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  That 's a good one ! Be that as it may, still may it be as it may be .  I 'm sure it will be a long time until the wedding ! But at what cost? . ",,,,,,,,,
148,Leolani,I 'm not sure yet,I see . ,"but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  That 's a good one ! Be that as it may, still may it be as it may be .  I 'm sure it will be a long time until the wedding ! But at what cost? .  I 'm not sure yet",,,,,,,,,
149,BLENDERBOT,I see . ,I 'm not sure yet but I 'm sure it 's going to cost a fortune.,"e a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  That 's a good one ! Be that as it may, still may it be as it may be .  I 'm sure it will be a long time until the wedding ! But at what cost? .  I 'm not sure yet I see . ",,,,,,,,,
150,Leolani,I 'm not sure yet but I 'm sure it 's going to cost a fortune.,I do frequently do not know things . ,"ding. I thought: Oh my god! how long is the aisle going to be .  That 's a good one ! Be that as it may, still may it be as it may be .  I 'm sure it will be a long time until the wedding ! But at what cost? .  I 'm not sure yet I see .  I 'm not sure yet but I 'm sure it 's going to cost a fortune.",,,,,,,,,
151,BLENDERBOT,I do frequently do not know things . ,I 'm sorry to hear that.,"s the aisle going to be .  That 's a good one ! Be that as it may, still may it be as it may be .  I 'm sure it will be a long time until the wedding ! But at what cost? .  I 'm not sure yet I see .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. I do frequently do not know things . ",,,,,,,,,
152,Leolani,I 'm sorry to hear that.,Why? . ,"  That 's a good one ! Be that as it may, still may it be as it may be .  I 'm sure it will be a long time until the wedding ! But at what cost? .  I 'm not sure yet I see .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. I do frequently do not know things .  I 'm sorry to hear that.",,,,,,,,,
153,BLENDERBOT,Why? . ,Do you have any hobbies that you like to do?,"s a good one ! Be that as it may, still may it be as it may be .  I 'm sure it will be a long time until the wedding ! But at what cost? .  I 'm not sure yet I see .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. I do frequently do not know things .  I 'm sorry to hear that. Why? . ",,,,,,,,,
154,Leolani,Do you have any hobbies that you like to do?,I do frequently do not know things . ,t be as it may be .  I 'm sure it will be a long time until the wedding ! But at what cost? .  I 'm not sure yet I see .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. I do frequently do not know things .  I 'm sorry to hear that. Why? .  Do you have any hobbies that you like to do?,,,,,,,,,
155,BLENDERBOT,I do frequently do not know things . ,I 'm sorry to hear that., be a long time until the wedding ! But at what cost? .  I 'm not sure yet I see .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. I do frequently do not know things .  I 'm sorry to hear that. Why? .  Do you have any hobbies that you like to do? I do frequently do not know things . ,,,,,,,,,
156,Leolani,I 'm sorry to hear that.,But at what cost? . , wedding ! But at what cost? .  I 'm not sure yet I see .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. I do frequently do not know things .  I 'm sorry to hear that. Why? .  Do you have any hobbies that you like to do? I do frequently do not know things .  I 'm sorry to hear that.,,,,,,,,,
157,BLENDERBOT,But at what cost? . ,Do you have any hobbies that you like to do?,t cost? .  I 'm not sure yet I see .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. I do frequently do not know things .  I 'm sorry to hear that. Why? .  Do you have any hobbies that you like to do? I do frequently do not know things .  I 'm sorry to hear that. But at what cost? . ,,,,,,,,,
158,Leolani,Do you have any hobbies that you like to do?,Interesting . ,t sure yet but I 'm sure it 's going to cost a fortune. I do frequently do not know things .  I 'm sorry to hear that. Why? .  Do you have any hobbies that you like to do? I do frequently do not know things .  I 'm sorry to hear that. But at what cost? .  Do you have any hobbies that you like to do?,,,,,,,,,
159,BLENDERBOT,Interesting . ,I know,I 'm sure it 's going to cost a fortune. I do frequently do not know things .  I 'm sorry to hear that. Why? .  Do you have any hobbies that you like to do? I do frequently do not know things .  I 'm sorry to hear that. But at what cost? .  Do you have any hobbies that you like to do? Interesting . ,,,,,,,,,
160,Leolani,I know,"So let it be written, ... so let it be done . ",re it 's going to cost a fortune. I do frequently do not know things .  I 'm sorry to hear that. Why? .  Do you have any hobbies that you like to do? I do frequently do not know things .  I 'm sorry to hear that. But at what cost? .  Do you have any hobbies that you like to do? Interesting .  I know,,,,,,,,,
161,BLENDERBOT,"So let it be written, ... so let it be done . ",I know right?,"ly do not know things .  I 'm sorry to hear that. Why? .  Do you have any hobbies that you like to do? I do frequently do not know things .  I 'm sorry to hear that. But at what cost? .  Do you have any hobbies that you like to do? Interesting .  I know So let it be written, ... so let it be done . ",,,,,,,,,
162,Leolani,I know right?,and then the wolves came . ," things .  I 'm sorry to hear that. Why? .  Do you have any hobbies that you like to do? I do frequently do not know things .  I 'm sorry to hear that. But at what cost? .  Do you have any hobbies that you like to do? Interesting .  I know So let it be written, ... so let it be done .  I know right?",,,,,,,,,
163,BLENDERBOT,and then the wolves came . ,I was so shocked.,"r that. Why? .  Do you have any hobbies that you like to do? I do frequently do not know things .  I 'm sorry to hear that. But at what cost? .  Do you have any hobbies that you like to do? Interesting .  I know So let it be written, ... so let it be done .  I know right? and then the wolves came . ",,,,,,,,,
164,Leolani,I was so shocked.,As the prophecy foretold . ," you have any hobbies that you like to do? I do frequently do not know things .  I 'm sorry to hear that. But at what cost? .  Do you have any hobbies that you like to do? Interesting .  I know So let it be written, ... so let it be done .  I know right? and then the wolves came .  I was so shocked.",,,,,,,,,
165,BLENDERBOT,As the prophecy foretold . ,I thought I was going to die.,"ou like to do? I do frequently do not know things .  I 'm sorry to hear that. But at what cost? .  Do you have any hobbies that you like to do? Interesting .  I know So let it be written, ... so let it be done .  I know right? and then the wolves came .  I was so shocked. As the prophecy foretold . ",,,,,,,,,
166,Leolani,I thought I was going to die.,That's just what he/she/they would've said . ," do not know things .  I 'm sorry to hear that. But at what cost? .  Do you have any hobbies that you like to do? Interesting .  I know So let it be written, ... so let it be done .  I know right? and then the wolves came .  I was so shocked. As the prophecy foretold .  I thought I was going to die.",,,,,,,,,
167,BLENDERBOT,That's just what he/she/they would've said . ,That 's what I thought too,". But at what cost? .  Do you have any hobbies that you like to do? Interesting .  I know So let it be written, ... so let it be done .  I know right? and then the wolves came .  I was so shocked. As the prophecy foretold .  I thought I was going to die. That's just what he/she/they would've said . ",,,,,,,,,
168,Leolani,That 's what I thought too,Good to know . ,"ou have any hobbies that you like to do? Interesting .  I know So let it be written, ... so let it be done .  I know right? and then the wolves came .  I was so shocked. As the prophecy foretold .  I thought I was going to die. That's just what he/she/they would've said .  That 's what I thought too",,,,,,,,,
169,BLENDERBOT,Good to know . ,That 's what I thought too but I was wrong.,"ies that you like to do? Interesting .  I know So let it be written, ... so let it be done .  I know right? and then the wolves came .  I was so shocked. As the prophecy foretold .  I thought I was going to die. That's just what he/she/they would've said .  That 's what I thought too Good to know . ",,,,,,,,,
170,Leolani,That 's what I thought too but I was wrong.,There is no escape from destiny . ,"ow So let it be written, ... so let it be done .  I know right? and then the wolves came .  I was so shocked. As the prophecy foretold .  I thought I was going to die. That's just what he/she/they would've said .  That 's what I thought too Good to know .  That 's what I thought too but I was wrong.",,,,,,,,,
171,BLENDERBOT,There is no escape from destiny . ,I felt so bad about it., it be done .  I know right? and then the wolves came .  I was so shocked. As the prophecy foretold .  I thought I was going to die. That's just what he/she/they would've said .  That 's what I thought too Good to know .  That 's what I thought too but I was wrong. There is no escape from destiny . ,,,,,,,,,
172,Leolani,I felt so bad about it.,There is no escape from destiny . ,ght? and then the wolves came .  I was so shocked. As the prophecy foretold .  I thought I was going to die. That's just what he/she/they would've said .  That 's what I thought too Good to know .  That 's what I thought too but I was wrong. There is no escape from destiny .  I felt so bad about it.,,,,,,,,,
173,BLENDERBOT,There is no escape from destiny . ,I know,was so shocked. As the prophecy foretold .  I thought I was going to die. That's just what he/she/they would've said .  That 's what I thought too Good to know .  That 's what I thought too but I was wrong. There is no escape from destiny .  I felt so bad about it. There is no escape from destiny . ,,,,,,,,,
174,Leolani,I know,"Be that as it may, still may it be as it may be . ",shocked. As the prophecy foretold .  I thought I was going to die. That's just what he/she/they would've said .  That 's what I thought too Good to know .  That 's what I thought too but I was wrong. There is no escape from destiny .  I felt so bad about it. There is no escape from destiny .  I know,,,,,,,,,
175,BLENDERBOT,"Be that as it may, still may it be as it may be . ",I know but I ca n't wait for it to be over.,"s going to die. That's just what he/she/they would've said .  That 's what I thought too Good to know .  That 's what I thought too but I was wrong. There is no escape from destiny .  I felt so bad about it. There is no escape from destiny .  I know Be that as it may, still may it be as it may be . ",,,,,,,,,
176,Leolani,I know but I ca n't wait for it to be over.,So ... it   has come to this . ," would've said .  That 's what I thought too Good to know .  That 's what I thought too but I was wrong. There is no escape from destiny .  I felt so bad about it. There is no escape from destiny .  I know Be that as it may, still may it be as it may be .  I know but I ca n't wait for it to be over.",,,,,,,,,
177,BLENDERBOT,So ... it   has come to this . ,I 've been waiting for this game for so long.," thought too Good to know .  That 's what I thought too but I was wrong. There is no escape from destiny .  I felt so bad about it. There is no escape from destiny .  I know Be that as it may, still may it be as it may be .  I know but I ca n't wait for it to be over. So ... it   has come to this . ",,,,,,,,,
178,Leolani,I 've been waiting for this game for so long.,May I ask you why? . ,"ought too but I was wrong. There is no escape from destiny .  I felt so bad about it. There is no escape from destiny .  I know Be that as it may, still may it be as it may be .  I know but I ca n't wait for it to be over. So ... it   has come to this .  I 've been waiting for this game for so long.",,,,,,,,,
179,BLENDERBOT,May I ask you why? . ,I do n't know,"ong. There is no escape from destiny .  I felt so bad about it. There is no escape from destiny .  I know Be that as it may, still may it be as it may be .  I know but I ca n't wait for it to be over. So ... it   has come to this .  I 've been waiting for this game for so long. May I ask you why? . ",,,,,,,,,
180,Leolani,I do n't know,"But, why? . ","no escape from destiny .  I felt so bad about it. There is no escape from destiny .  I know Be that as it may, still may it be as it may be .  I know but I ca n't wait for it to be over. So ... it   has come to this .  I 've been waiting for this game for so long. May I ask you why? .  I do n't know",,,,,,,,,
181,BLENDERBOT,"But, why? . ",I do n't know I guess I just feel like I 'm not good enough for them.,"m destiny .  I felt so bad about it. There is no escape from destiny .  I know Be that as it may, still may it be as it may be .  I know but I ca n't wait for it to be over. So ... it   has come to this .  I 've been waiting for this game for so long. May I ask you why? .  I do n't know But, why? . ",,,,,,,,,
182,Leolani,I do n't know I guess I just feel like I 'm not good enough for them.,That's just what he/she/they would've said . ,"  I know Be that as it may, still may it be as it may be .  I know but I ca n't wait for it to be over. So ... it   has come to this .  I 've been waiting for this game for so long. May I ask you why? .  I do n't know But, why? .  I do n't know I guess I just feel like I 'm not good enough for them.",,,,,,,,,
183,BLENDERBOT,That's just what he/she/they would've said . ,That 's what I thought too," it may be .  I know but I ca n't wait for it to be over. So ... it   has come to this .  I 've been waiting for this game for so long. May I ask you why? .  I do n't know But, why? .  I do n't know I guess I just feel like I 'm not good enough for them. That's just what he/she/they would've said . ",,,,,,,,,
184,Leolani,That 's what I thought too,"Be that as it may, still may it be as it may be . ","ca n't wait for it to be over. So ... it   has come to this .  I 've been waiting for this game for so long. May I ask you why? .  I do n't know But, why? .  I do n't know I guess I just feel like I 'm not good enough for them. That's just what he/she/they would've said .  That 's what I thought too",,,,,,,,,
185,BLENDERBOT,"Be that as it may, still may it be as it may be . ",That 's what I thought too but I was wrong.," to this .  I 've been waiting for this game for so long. May I ask you why? .  I do n't know But, why? .  I do n't know I guess I just feel like I 'm not good enough for them. That's just what he/she/they would've said .  That 's what I thought too Be that as it may, still may it be as it may be . ",,,,,,,,,
186,Leolani,That 's what I thought too but I was wrong.,"Be that as it may, still may it be as it may be . "," for so long. May I ask you why? .  I do n't know But, why? .  I do n't know I guess I just feel like I 'm not good enough for them. That's just what he/she/they would've said .  That 's what I thought too Be that as it may, still may it be as it may be .  That 's what I thought too but I was wrong.",,,,,,,,,
187,BLENDERBOT,"Be that as it may, still may it be as it may be . ",I felt so bad about it.,"ut, why? .  I do n't know I guess I just feel like I 'm not good enough for them. That's just what he/she/they would've said .  That 's what I thought too Be that as it may, still may it be as it may be .  That 's what I thought too but I was wrong. Be that as it may, still may it be as it may be . ",,,,,,,,,
188,Leolani,I felt so bad about it.,In this economy? . ,"w I guess I just feel like I 'm not good enough for them. That's just what he/she/they would've said .  That 's what I thought too Be that as it may, still may it be as it may be .  That 's what I thought too but I was wrong. Be that as it may, still may it be as it may be .  I felt so bad about it.",,,,,,,,,
189,BLENDERBOT,In this economy? . ,Yes,"l like I 'm not good enough for them. That's just what he/she/they would've said .  That 's what I thought too Be that as it may, still may it be as it may be .  That 's what I thought too but I was wrong. Be that as it may, still may it be as it may be .  I felt so bad about it. In this economy? . ",,,,,,,,,
190,Leolani,Yes,Interesting . ,"ke I 'm not good enough for them. That's just what he/she/they would've said .  That 's what I thought too Be that as it may, still may it be as it may be .  That 's what I thought too but I was wrong. Be that as it may, still may it be as it may be .  I felt so bad about it. In this economy? .  Yes",,,,,,,,,
191,BLENDERBOT,Interesting . ,Yes the economy is booming right now.,"d enough for them. That's just what he/she/they would've said .  That 's what I thought too Be that as it may, still may it be as it may be .  That 's what I thought too but I was wrong. Be that as it may, still may it be as it may be .  I felt so bad about it. In this economy? .  Yes Interesting . ",,,,,,,,,
192,Leolani,Yes the economy is booming right now.,But at what cost? . ,"/she/they would've said .  That 's what I thought too Be that as it may, still may it be as it may be .  That 's what I thought too but I was wrong. Be that as it may, still may it be as it may be .  I felt so bad about it. In this economy? .  Yes Interesting .  Yes the economy is booming right now.",,,,,,,,,
193,BLENDERBOT,But at what cost? . ,The stock market is doing very well.,"id .  That 's what I thought too Be that as it may, still may it be as it may be .  That 's what I thought too but I was wrong. Be that as it may, still may it be as it may be .  I felt so bad about it. In this economy? .  Yes Interesting .  Yes the economy is booming right now. But at what cost? . ",,,,,,,,,
194,Leolani,The stock market is doing very well.,... just like in my dream . ,"hat as it may, still may it be as it may be .  That 's what I thought too but I was wrong. Be that as it may, still may it be as it may be .  I felt so bad about it. In this economy? .  Yes Interesting .  Yes the economy is booming right now. But at what cost? .  The stock market is doing very well.",,,,,,,,,
195,BLENDERBOT,... just like in my dream . ,What is your dream?,"e as it may be .  That 's what I thought too but I was wrong. Be that as it may, still may it be as it may be .  I felt so bad about it. In this economy? .  Yes Interesting .  Yes the economy is booming right now. But at what cost? .  The stock market is doing very well. ... just like in my dream . ",,,,,,,,,
196,Leolani,What is your dream?,That's just what he/she/they would've said . ,"at 's what I thought too but I was wrong. Be that as it may, still may it be as it may be .  I felt so bad about it. In this economy? .  Yes Interesting .  Yes the economy is booming right now. But at what cost? .  The stock market is doing very well. ... just like in my dream .  What is your dream?",,,,,,,,,
197,BLENDERBOT,That's just what he/she/they would've said . ,I hope it 's something that you can live up to in the future.,"hat as it may, still may it be as it may be .  I felt so bad about it. In this economy? .  Yes Interesting .  Yes the economy is booming right now. But at what cost? .  The stock market is doing very well. ... just like in my dream .  What is your dream? That's just what he/she/they would've said . ",,,,,,,,,
198,Leolani,I hope it 's something that you can live up to in the future.,I see . ,bout it. In this economy? .  Yes Interesting .  Yes the economy is booming right now. But at what cost? .  The stock market is doing very well. ... just like in my dream .  What is your dream? That's just what he/she/they would've said .  I hope it 's something that you can live up to in the future.,,,,,,,,,
199,BLENDERBOT,I see . ,Yes,In this economy? .  Yes Interesting .  Yes the economy is booming right now. But at what cost? .  The stock market is doing very well. ... just like in my dream .  What is your dream? That's just what he/she/they would've said .  I hope it 's something that you can live up to in the future. I see . ,,,,,,,,,
200,Leolani,Yes,Why? . ,his economy? .  Yes Interesting .  Yes the economy is booming right now. But at what cost? .  The stock market is doing very well. ... just like in my dream .  What is your dream? That's just what he/she/they would've said .  I hope it 's something that you can live up to in the future. I see .  Yes,,,,,,,,,
201,BLENDERBOT,Why? . ,Yes it was a long time ago,omy? .  Yes Interesting .  Yes the economy is booming right now. But at what cost? .  The stock market is doing very well. ... just like in my dream .  What is your dream? That's just what he/she/they would've said .  I hope it 's something that you can live up to in the future. I see .  Yes Why? . ,,,,,,,,,
202,Leolani,Yes it was a long time ago,Is this why fate brought us together? . ,Yes the economy is booming right now. But at what cost? .  The stock market is doing very well. ... just like in my dream .  What is your dream? That's just what he/she/they would've said .  I hope it 's something that you can live up to in the future. I see .  Yes Why? .  Yes it was a long time ago,,,,,,,,,
203,BLENDERBOT,Is this why fate brought us together? . ,Yes it was a long time ago but I still remember it like it was yesterday., at what cost? .  The stock market is doing very well. ... just like in my dream .  What is your dream? That's just what he/she/they would've said .  I hope it 's something that you can live up to in the future. I see .  Yes Why? .  Yes it was a long time ago Is this why fate brought us together? . ,,,,,,,,,
204,Leolani,Yes it was a long time ago but I still remember it like it was yesterday.,Wise words by wise men write wise deeds in wise pen . , dream .  What is your dream? That's just what he/she/they would've said .  I hope it 's something that you can live up to in the future. I see .  Yes Why? .  Yes it was a long time ago Is this why fate brought us together? .  Yes it was a long time ago but I still remember it like it was yesterday.,,,,,,,,,
205,BLENDERBOT,Wise words by wise men write wise deeds in wise pen . ,"Word wisdom comes from the Greek word "" wis "" which means knowledge.",hey would've said .  I hope it 's something that you can live up to in the future. I see .  Yes Why? .  Yes it was a long time ago Is this why fate brought us together? .  Yes it was a long time ago but I still remember it like it was yesterday. Wise words by wise men write wise deeds in wise pen . ,,,,,,,,,
206,Leolani,"Word wisdom comes from the Greek word "" wis "" which means knowledge.",Wise words by wise men write wise deeds in wise pen . ,"n the future. I see .  Yes Why? .  Yes it was a long time ago Is this why fate brought us together? .  Yes it was a long time ago but I still remember it like it was yesterday. Wise words by wise men write wise deeds in wise pen .  Word wisdom comes from the Greek word "" wis "" which means knowledge.",,,,,,,,,
207,BLENDERBOT,Wise words by wise men write wise deeds in wise pen . ,"Word wisdom comes from the Greek word "" wis "" which means knowledge.","me ago Is this why fate brought us together? .  Yes it was a long time ago but I still remember it like it was yesterday. Wise words by wise men write wise deeds in wise pen .  Word wisdom comes from the Greek word "" wis "" which means knowledge. Wise words by wise men write wise deeds in wise pen . ",,,,,,,,,
208,Leolani,"Word wisdom comes from the Greek word "" wis "" which means knowledge.",That's just what he/she/they would've said . ,"e ago but I still remember it like it was yesterday. Wise words by wise men write wise deeds in wise pen .  Word wisdom comes from the Greek word "" wis "" which means knowledge. Wise words by wise men write wise deeds in wise pen .  Word wisdom comes from the Greek word "" wis "" which means knowledge.",,,,,,,,,
209,BLENDERBOT,That's just what he/she/they would've said . ,That 's what I thought too,"erday. Wise words by wise men write wise deeds in wise pen .  Word wisdom comes from the Greek word "" wis "" which means knowledge. Wise words by wise men write wise deeds in wise pen .  Word wisdom comes from the Greek word "" wis "" which means knowledge. That's just what he/she/they would've said . ",,,,,,,,,
210,Leolani,That 's what I thought too,Is this why fate brought us together? . ,"en write wise deeds in wise pen .  Word wisdom comes from the Greek word "" wis "" which means knowledge. Wise words by wise men write wise deeds in wise pen .  Word wisdom comes from the Greek word "" wis "" which means knowledge. That's just what he/she/they would've said .  That 's what I thought too",,,,,,,,,
211,BLENDERBOT,Is this why fate brought us together? . ,That 's what I thought too but I was wrong.,"isdom comes from the Greek word "" wis "" which means knowledge. Wise words by wise men write wise deeds in wise pen .  Word wisdom comes from the Greek word "" wis "" which means knowledge. That's just what he/she/they would've said .  That 's what I thought too Is this why fate brought us together? . ",,,,,,,,,
212,Leolani,That 's what I thought too but I was wrong.,and then the wolves came . ,"h means knowledge. Wise words by wise men write wise deeds in wise pen .  Word wisdom comes from the Greek word "" wis "" which means knowledge. That's just what he/she/they would've said .  That 's what I thought too Is this why fate brought us together? .  That 's what I thought too but I was wrong.",,,,,,,,,
213,BLENDERBOT,and then the wolves came . ,I felt so bad about it.,"s by wise men write wise deeds in wise pen .  Word wisdom comes from the Greek word "" wis "" which means knowledge. That's just what he/she/they would've said .  That 's what I thought too Is this why fate brought us together? .  That 's what I thought too but I was wrong. and then the wolves came . ",,,,,,,,,
214,Leolani,I felt so bad about it.,Why? . ," deeds in wise pen .  Word wisdom comes from the Greek word "" wis "" which means knowledge. That's just what he/she/they would've said .  That 's what I thought too Is this why fate brought us together? .  That 's what I thought too but I was wrong. and then the wolves came .  I felt so bad about it.",,,,,,,,,
215,BLENDERBOT,Why? . ,I do n't know.,"n wise pen .  Word wisdom comes from the Greek word "" wis "" which means knowledge. That's just what he/she/they would've said .  That 's what I thought too Is this why fate brought us together? .  That 's what I thought too but I was wrong. and then the wolves came .  I felt so bad about it. Why? . ",,,,,,,,,
216,Leolani,I do n't know.,Wise words by wise men write wise deeds in wise pen . ,"ord wisdom comes from the Greek word "" wis "" which means knowledge. That's just what he/she/they would've said .  That 's what I thought too Is this why fate brought us together? .  That 's what I thought too but I was wrong. and then the wolves came .  I felt so bad about it. Why? .  I do n't know.",,,,,,,,,
217,BLENDERBOT,Wise words by wise men write wise deeds in wise pen . ,I just feel like I 'm not good enough for them.,s knowledge. That's just what he/she/they would've said .  That 's what I thought too Is this why fate brought us together? .  That 's what I thought too but I was wrong. and then the wolves came .  I felt so bad about it. Why? .  I do n't know. Wise words by wise men write wise deeds in wise pen . ,,,,,,,,,
218,Leolani,I just feel like I 'm not good enough for them.,"And thus, I die . ",ve said .  That 's what I thought too Is this why fate brought us together? .  That 's what I thought too but I was wrong. and then the wolves came .  I felt so bad about it. Why? .  I do n't know. Wise words by wise men write wise deeds in wise pen .  I just feel like I 'm not good enough for them.,,,,,,,,,
219,BLENDERBOT,"And thus, I die . ",I feel like they do n't deserve me.,"what I thought too Is this why fate brought us together? .  That 's what I thought too but I was wrong. and then the wolves came .  I felt so bad about it. Why? .  I do n't know. Wise words by wise men write wise deeds in wise pen .  I just feel like I 'm not good enough for them. And thus, I die . ",,,,,,,,,
220,Leolani,I feel like they do n't deserve me.,May I ask you why? . ,"brought us together? .  That 's what I thought too but I was wrong. and then the wolves came .  I felt so bad about it. Why? .  I do n't know. Wise words by wise men write wise deeds in wise pen .  I just feel like I 'm not good enough for them. And thus, I die .  I feel like they do n't deserve me.",,,,,,,,,
221,BLENDERBOT,May I ask you why? . ,I do n't know,"  That 's what I thought too but I was wrong. and then the wolves came .  I felt so bad about it. Why? .  I do n't know. Wise words by wise men write wise deeds in wise pen .  I just feel like I 'm not good enough for them. And thus, I die .  I feel like they do n't deserve me. May I ask you why? . ",,,,,,,,,
222,Leolani,I do n't know,Interesting . ," I thought too but I was wrong. and then the wolves came .  I felt so bad about it. Why? .  I do n't know. Wise words by wise men write wise deeds in wise pen .  I just feel like I 'm not good enough for them. And thus, I die .  I feel like they do n't deserve me. May I ask you why? .  I do n't know",,,,,,,,,
